Room Number,Room Type,Number of Nights
306,Classic,132
311,Classic,131
305,Classic,126
309,Classic,123
313,Classic,121
307,Classic,121
402,Suite,121
304,Classic,120
308,Classic,116
317,Classic,112
410,Classic,111
406,Classic,111
303,Classic,111
409,Classic,110
516,Classic,109
215,Deluxe,109
310,Classic,108
302,Suite,108
411,Classic,108
210,Classic,107
407,Classic,107
213,Classic,107
209,Classic,106
413,Classic,104
314,Classic,104
405,Classic,103
408,Classic,101
212,Classic,96
211,Classic,96
312,Classic,95
415,Classic,94
517,Classic,93
214,Classic,93
404,Classic,92
316,Classic,92
403,Classic,91
216,Deluxe,91
318,Classic,90
315,Classic,90
412,Classic,89
319,Classic,89
512,Deluxe,89
417,Classic,87
521,Classic,86
414,Classic,86
422,ADAQQ,85
523,Classic,85
321,Classic,84
513,Deluxe,84
208,Classic,82
416,Classic,81
320,Classic,80
217,Deluxe,74
515,Deluxe,74
421,Classic,72
219,Deluxe,71
519,Classic,67
207,Classic,65
420,Classic,64
419,Classic,62
223,Deluxe,61
418,Classic,58
514,Deluxe,56
423,Classic,55
525,Classic,55
221,Deluxe,54
323,Classic,53
425,Classic,52
327,Classic,49
325,Classic,49
225,Deluxe,48
322,ADAK,44
427,Classic,44
205,Classic,23
