Day,rows,unique_rooms,changed,change_rate
2025-12-14,31,12,11,0.3548
2025-12-15,15,9,8,0.5333
2025-12-16,16,7,10,0.625
2025-12-17,30,7,19,0.6333
2025-12-18,40,9,20,0.5
2025-12-19,30,11,15,0.5
2025-12-20,24,7,12,0.5
2025-12-21,6,4,2,0.3333
2025-12-22,3,2,3,1.0
2025-12-23,6,3,5,0.8333
2025-12-24,4,3,2,0.5
2025-12-25,1,1,1,1.0
2025-12-26,1,1,1,1.0
2025-12-27,13,6,8,0.6154
2025-12-28,11,8,6,0.5455
2025-12-29,17,6,10,0.5882
2025-12-30,12,6,6,0.5
2025-12-31,6,3,2,0.3333
2026-01-01,2,2,2,1.0
2026-01-02,15,5,10,0.6667
2026-01-03,41,14,27,0.6585
2026-01-04,30,13,15,0.5
2026-01-05,30,10,21,0.7
2026-01-06,47,18,27,0.5745
2026-01-07,41,13,20,0.4878
2026-01-08,13,7,4,0.3077
2026-01-09,36,8,22,0.6111
2026-01-10,47,10,28,0.5957
2026-01-11,11,9,3,0.2727
2026-01-12,33,8,25,0.7576
2026-01-13,35,11,18,0.5143
2026-01-14,45,15,30,0.6667
