Username,total_actions,unique_rooms,status_changes,room_uniqueness_rate,rotation_quality
CyndiC,146,41,67,0.281,Low
NachelleW,68,24,34,0.353,Low
Administrator,109,44,0,0.404,Moderate
ChorumPMS,109,44,106,0.404,Moderate
BethanyP,33,22,10,0.667,High (good rotation)
ChiaraM,3,2,2,0.667,High (good rotation)
MasonR,25,17,11,0.68,High (good rotation)
TammyW,33,23,8,0.697,High (good rotation)
CameronS,30,21,30,0.7,High (good rotation)
DixieC,24,19,24,0.792,High (good rotation)
FelicityA,15,12,15,0.8,High (good rotation)
JustinM,6,5,0,0.833,High (good rotation)
KayleeT,19,16,19,0.842,High (good rotation)
EmeryR,10,9,10,0.9,High (good rotation)
KyraC,11,10,11,0.909,High (good rotation)
CarterJ,23,21,22,0.913,High (good rotation)
JesseR,9,9,9,1.0,High (good rotation)
BenW,7,7,7,1.0,High (good rotation)
HelerP,3,3,2,1.0,High (good rotation)
MckenzieS,3,3,3,1.0,High (good rotation)
RyleeC,2,2,2,1.0,High (good rotation)
SydneyA,2,2,0,1.0,High (good rotation)
TylerE,2,2,1,1.0,High (good rotation)
