Username,rows,changed,unique_rooms,change_rate,room_randomness
CyndiC,146,67,41,0.4589,0.967
ChorumPMS,109,106,44,0.9725,0.964
Administrator,109,0,44,0.0,0.965
NachelleW,68,34,24,0.5,0.944
BethanyP,33,10,22,0.303,0.942
TammyW,33,8,23,0.2424,0.946
CameronS,30,30,21,1.0,0.942
MasonR,25,11,17,0.44,0.925
DixieC,24,24,19,1.0,0.941
CarterJ,23,22,21,0.9565,0.949
KayleeT,19,19,16,1.0,0.931
FelicityA,15,15,12,1.0,0.907
KyraC,11,11,10,1.0,0.893
EmeryR,10,10,9,1.0,0.88
JesseR,9,9,9,1.0,0.889
BenW,7,7,7,1.0,0.857
JustinM,6,0,5,0.0,0.778
MckenzieS,3,3,3,1.0,0.667
ChiaraM,3,2,2,0.6667,0.444
HelerP,3,2,3,0.6667,0.667
RyleeC,2,2,2,1.0,0.5
TylerE,2,1,2,0.5,0.5
SydneyA,2,0,2,0.0,0.5
